#,Song,Artist,Popularity,BPM,Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Camelot,ISRC
14,"Telephone","Lady Gaga,Beyoncé",80,122,"art pop, pop, ","The Fame Monster (Deluxe Edition)",2009-08-05,03:40,83,83,1,0,71,0,10,-6,F Minor,4,2022-11-05,7rl7ao5pb9BhvAzPdWStxi,4A,USUM70905541
15,"Someone Who Can Dance","Icona Pop",0,120,"","Someone Who Can Dance",2016-02-24,02:52,77,88,1,0,59,0,20,-3,C♯/D♭ Major,4,2022-11-03,3eE6WTf4OBqZOo8e7cS0qY,3B,SEWEE1600101
16,"Gimme! Gimme! Gimme! (A Man After Midnight)","ABBA",82,120,"","Voulez-Vous",1979-00-00,04:52,75,49,2,1,54,0,10,-10,A#/B♭ Major,4,2022-11-03,3vkQ5DAB1qQMYO4Mr9zJN6,6B,SEAYD7901120
17,"Levitating","Dua Lipa",78,103,"pop","Future Nostalgia",2020-03-27,03:23,70,88,6,0,91,0,20,-2,F#/G♭ Minor,4,2022-11-03,39LLxExYz6ewLAcYrzQQyP,11A,GBAHT1901299
18,"Con Calma","Daddy Yankee,Snow",80,94,"reggaeton, latin, ","Con Calma",2019-01-24,03:13,74,86,11,0,66,0,0,-3,G#/A♭ Minor,4,2022-11-03,5w9c2J52mkdntKOmRLeM2m,1A,US2BU1900125
19,"Die Young","Kesha",82,128,"","Warrior (Expanded Edition)",2012-11-30,03:31,71,70,0,0,80,0,20,-5,C♯/D♭ Minor,4,2022-11-03,7EQGXaVSyEDsCWKmUcfpLk,12A,USRC11201008
20,"Starships","Nicki Minaj",76,125,"","Pink Friday ... Roman Reloaded",2011-01-01,03:30,75,72,14,0,75,0,20,-2,B Minor,4,2022-11-03,1oHNvJVbFkexQc0BpQp7Y4,10A,USCM51200060
21,"Boss Bitch","Doja Cat",77,126,"","Boss Bitch",2020-01-23,02:14,71,96,13,0,57,20,20,-5,A#/B♭ Minor,4,2022-11-03,78qd8dvwea0Gosb6Fe6j3k,3A,USAT21907355
22,"Rasputin","Boney M.",66,126,"disco","Nightflight to Venus",1978-00-00,05:51,64,89,29,1,97,0,20,-7,A Major,4,2022-10-19,5jkFvD4UJrmdoezzT1FRoP,11B,DED167800008
23,"Gimme More","Britney Spears",85,113,"pop","Blackout",2007-10-25,04:11,79,84,25,0,38,0,0,-3,D Major,4,2022-11-03,6ic8OlLUNEATToEFU3xmaH,10B,USJI10700609
24,"Diva","Beyoncé",77,146,"","I AM...SASHA FIERCE",2008-11-14,03:20,88,55,5,1,86,30,0,-7,F#/G♭ Minor,4,2022-11-05,5Ssv6DaKrW0HczVqx6zXdl,11A,USSM10804755
25,"Blow","Kesha",75,120,"","Cannibal (Expanded Edition)",2010-11-19,03:39,75,73,0,0,81,0,0,-4,B Minor,4,2022-11-05,3pYDZTJM2tVBUhIRifWVzI,10A,USRC11000889
26,"No Sleep Till Brooklyn","Beastie Boys",72,97,"rap rock, east coast hip hop, hip hop","Licensed To Ill",1986-11-15,04:06,71,69,12,0,74,10,0,-8,G#/A♭ Major,4,2022-11-05,5qxChyzKLEyoPJ5qGrdurN,4B,USDJ28600008
27,"THATS WHAT I WANT","Lil Nas X",76,88,"","MONTERO",2021-09-17,02:23,74,85,1,0,55,20,0,-5,C♯/D♭ Minor,4,2022-11-05,0e8nrvls4Qqv5Rfa2UhqmO,12A,USSM12105732
28,"The Safety Dance","Men Without Hats",60,102,"synthpop, new wave","Rock Of The 80's",1998-01-01,02:45,63,58,8,0,58,0,0,-13,F Major,4,2022-11-05,4t5lrf5rFX6JWAUPKCDlKk,7B,USMC18314274
