#,Song,Artist,Popularity,BPM,Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Camelot,ISRC
41,"Gasolina","Daddy Yankee",8,96,"reggaeton, latin","Barrio Fino (Bonus Track Version)",2004-07-13,03:12,86,80,33,0,75,0,0,-6,C Major,4,2023-10-21,6jEZLz3YpnEBRpVkv35AmP,8B,QM6N21759342
42,"Voulez-Vous - From 'Mamma Mia!' Original Motion Picture Soundtrack","Cast of Mamma Mia! The Movie,Philip Michael,Christine Baranski,Julie Walters,Stellan Skarsgård",65,127,"musicals","Mamma Mia! The Movie Soundtrack",2008-01-01,04:35,70,89,2,1,79,0,10,-5,C Major,4,2023-10-21,4UeDMzA4XjmRpl1RHogDzx,8B,GBUM70809219
43,"Unholy (feat. Kim Petras)","Sam Smith,Kim Petras",75,131,"soft pop, ","Gloria",2023-01-27,02:36,72,45,1,0,22,0,30,-7,D Major,4,2023-10-20,0NZPBYD5qbEWRs3PrGiRkT,10B,GBUM72205415
44,"Bailando - Spanish Version","Enrique Iglesias,Descemer Bueno,Gente De Zona",66,91,"latin pop, latin, latin dance","SEX AND LOVE (Deluxe)",2014-03-17,04:03,72,78,4,0,96,10,0,-4,G Major,4,2023-10-21,32lm3769IRfcnrQV11LO4E,9B,GBUM71400955
45,"Body","Megan Thee Stallion",70,94,"","Good News",2020-11-20,02:51,91,73,2,0,47,20,10,-6,G#/A♭ Minor,4,2023-10-20,0A1hoCfMLkiAgvhWkkucJa,1A,QMCE32000683
46,"Mr. Brightside","The Killers",89,148,"alternative rock","Hot Fuss",2004-00-00,03:42,35,91,0,0,24,0,10,-5,C♯/D♭ Major,4,2023-10-20,003vvx7Niy0yvhvHt4a68B,3B,USIR20400274
47,"Super Trouper - From 'Mamma Mia!' Original Motion Picture Soundtrack","Meryl Streep,Julie Walters,Christine Baranski",67,120,"musicals","Mamma Mia! The Movie Soundtrack",2008-01-01,03:54,70,69,10,0,87,0,30,-5,C Major,4,2023-10-21,4btKuUUEjPNVD6yOKGlY9j,8B,GBUM70809216
48,"Planet of the Bass (feat. DJ Crazy Times & Ms. Biljana Electronica)","Kyle Gordon,DJ Crazy Times,Ms. Biljana Electronica",0,128,"europop, ","Planet of the Bass (feat. DJ Crazy Times & Ms. Biljana Electronica)",2023-08-15,03:20,72,64,0,0,59,0,30,-9,A#/B♭ Major,4,2023-10-21,7xOjJ5v3SGlYl5Rb2c31dI,6B,QMPK42300185
49,"TiK ToK","Kesha",3,120,"","Animal",2010-00-00,03:19,76,83,7,0,74,10,20,-3,D Minor,4,2023-10-21,5OMwQFBcte0aWFJFqrr5oj,7A,USRC10900433
50,"Disturbia","Rihanna",81,125,"","Good Girl Gone Bad: Reloaded",2008-06-02,03:58,71,81,9,0,72,0,10,-5,B Minor,4,2023-10-21,2VOomzT6VavJOGBeySqaMc,10A,USUM70814476
51,"Time Warp","Little Nell,Patricia Quinn,Richard O'Brien",58,175,"","The Rocky Horror Picture Show - Original Soundtrack",1975-01-10,03:19,39,67,14,0,54,20,0,-11,C♯/D♭ Minor,4,2023-10-18,4WFeJTXNHIS2wURtwlAkhu,12A,USA560853992
52,"Suavemente","Elvis Crespo",66,124,"merengue, latin dance, salsa, latin","Suavemente...Los Exitos",2008-10-14,04:26,81,88,24,0,92,0,0,-3,G#/A♭ Major,4,2023-10-21,1YwPNemawMgGe6sF4U0FTE,4B,USSD19700576
53,"Hallucinate","Dua Lipa",52,122,"pop","Future Nostalgia",2020-03-27,03:28,63,69,3,0,63,10,0,-5,A#/B♭ Minor,4,2023-10-21,2MUKw7zEirXqdZZ3xC4hOf,3A,GBAHT1901301
54,"Black Magic","Little Mix",76,112,"","Get Weird (Expanded Edition)",2015-11-06,03:31,78,88,3,0,85,0,30,-6,E Major,4,2023-10-21,6rmXhRIemCTPyMYZRDN7Qg,12B,GBHMU1500046
55,"She Wolf","Shakira",14,122,"latin pop, latin","She Wolf (Expanded Edition)",2009-00-00,03:08,87,69,28,2,87,0,20,-7,G Major,4,2023-10-21,4cS2HQ6jK80vqdY9ofpztx,9B,USSM10903570
56,"La Bicicleta","Carlos Vives,Shakira",77,180,"colombian pop, vallenato, latin, latin pop","VIVES",2017-11-10,03:49,75,94,21,0,95,10,30,-4,C Major,4,2023-10-21,0Gx4VrHzS7pZOEAGrmXXBH,8B,USSD11600112
