#,Song,Artist,Popularity,BPM,Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Camelot,ISRC
12,"Michael","Franz Ferdinand",50,159,"indie rock","Franz Ferdinand",2004-02-16,03:24,43,87,0,0,78,0,20,-7,F#/G♭ Minor,4,2023-02-12,5NQQyIX2DVsiBKwRBBUfNW,11A,GBCEL0300198
13,"Screwed (feat. Zoë Kravitz)","Janelle Monáe,Zoë Kravitz",43,106,"alternative r&b, ","Dirty Computer",2018-04-27,05:02,73,68,4,0,45,0,20,-8,G#/A♭ Minor,4,2023-02-11,1Z2MfAx1nJ09NzGjodnvRW,1A,USAT21800754
14,"Elle me dit","MIKA",53,126,"","The Origin Of Love (Deluxe)",2012-01-01,03:36,79,77,6,0,48,0,0,-4,A#/B♭ Major,4,2023-02-12,2CFGQXM3exBO8U9WGve2GY,6B,USC7R1100001
15,"Gold Trans Am","Kesha",40,166,"","Warrior (Expanded Edition)",2012-11-30,03:20,52,86,5,0,56,10,30,-4,A Major,4,2023-02-11,5pOeKpXet0UPJyjjM2k7v0,11B,USRC11201146
16,"The Man","The Killers",67,106,"alternative rock","Wonderful Wonderful",2017-09-22,04:10,61,94,7,0,52,10,0,-3,F#/G♭ Minor,4,2023-02-11,5aWhs651KYM26HYM16kRdk,11A,USUM71705733
17,"It's Raining Men","The Weather Girls",64,137,"disco","Success",1982-00-00,05:25,69,74,3,60,56,0,40,-13,C♯/D♭ Major,4,2023-02-11,2IvetNzSZMH5gwjInoyr18,3B,USSM18200382
18,"Mr. Saxobeat","Alexandra Stan",2,127,"","Saxobeats",2011-10-25,03:15,72,93,3,0,78,0,10,-4,E Minor,4,2023-02-08,2ZAx6NDhX2yE5aL5ueEQgY,9A,ROCRP1002864
19,"My Type","Saint Motel",70,118,"","My Type EP",2014-08-16,03:24,60,90,6,0,57,0,0,-3,A#/B♭ Major,4,2023-02-11,2Iq6HhIquO7JKr0KfTNLzU,6B,GBAYE1400856
20,"Tokyo Drifting","Glass Animals,Denzel Curry",64,129,"punk rap","Dreamland",2020-08-07,03:36,72,44,12,0,42,0,10,-10,G#/A♭ Minor,4,2023-02-11,2MA6YoaFF7fnWqkuOAWjUg,1A,GBUM71905642
21,"Dragostea Din Tei","O-Zone",1,130,"europop, eurodance","DiscO-Zone",2002-00-00,03:33,81,97,16,0,71,0,0,-4,C Major,4,2023-02-08,4nnHlGaBwJHb1rBetqj0Yl,8B,ITL010400054
22,"Pony","Ginuwine",72,142,"r&b","R&B: From Doo-Wop To Hip-Hop",1999-10-08,04:11,75,61,0,4,97,0,10,-9,G#/A♭ Minor,4,2023-02-11,6mz1fBdKATx6qP4oP1I65G,1A,USSM19605851
23,"Gimme! Gimme! Gimme! (A Man After Midnight)","ABBA",82,120,"","Voulez-Vous",1979-00-00,04:52,75,49,2,1,54,0,10,-10,A#/B♭ Major,4,2023-02-08,3vkQ5DAB1qQMYO4Mr9zJN6,6B,SEAYD7901120
24,"Alors On Danse","Stromae,Kanye West",31,120,"french pop, rap","Sommer 2019",2019-07-05,03:34,68,87,13,0,68,10,0,-4,C♯/D♭ Minor,4,2023-02-08,2PFnT1OBjAEDCaxvTlRrJq,12A,BET671000147
25,"MONTERO (Call Me By Your Name)","Lil Nas X",71,179,"","MONTERO (Call Me By Your Name)",2021-03-31,02:17,61,51,30,0,76,10,30,-7,G#/A♭ Minor,4,2023-02-11,67BtfxlNbhBmCDR2L2l8qd,1A,USSM12100531
26,"Under The Sea - Tabata Remix","Workout Music Tv",15,128,"","Under The Sea (Workout Bundle / Even 32 Count Phrasing)",2020-03-26,04:14,69,98,11,0,59,20,10,-3,C Major,4,2023-02-11,1gHzzh6ZP0JJTONBApqyKl,8B,ITC942004797
